class,odor,spore-print-color,habitat,population,cap-shape,gill-size
e,a,n,g,s,x,b
e,n,n,g,a,x,b
e,l,n,g,s,x,b
e,n,k,u,v,s,n
e,a,u,d,v,x,n
e,l,k,g,s,x,b
e,a,n,g,n,b,b
e,a,n,g,n,x,b
e,a,k,m,s,b,b
e,a,k,g,s,b,b
e,l,k,m,s,b,b
e,a,k,g,n,b,b
e,n,n,u,y,x,n
e,l,n,g,y,f,b
e,a,n,g,s,x,b
e,l,n,p,y,f,b
e,a,n,g,s,b,b
e,a,k,m,s,b,b
e,l,k,g,y,x,b
e,a,k,g,s,b,b
e,n,n,u,y,x,n
e,l,n,g,s,b,b
e,l,u,d,v,x,n
e,a,k,g,s,b,b
e,l,n,g,s,f,b
e,l,k,m,n,b,b
e,a,k,m,n,b,b
e,a,n,g,s,b,b
e,l,n,m,n,x,b
e,l,n,g,n,b,b
p,p,n,u,v,x,n
e,n,n,u,y,s,n
e,n,k,u,v,f,n
e,a,n,m,s,x,b
e,a,k,p,s,f,b
p,p,k,g,s,x,n
e,l,n,m,s,b,b
e,n,k,u,v,f,n
e,l,n,g,n,b,b
e,a,n,p,y,x,b
e,n,k,g,s,x,b
e,l,n,d,v,x,n
e,l,n,m,s,b,b
e,a,n,d,v,f,n
e,a,n,m,n,x,b
e,n,n,u,y,f,n
e,a,k,g,s,b,b
e,l,n,m,n,x,b
e,l,n,m,s,x,b
e,a,n,d,v,f,n
e,l,n,g,s,x,b
e,l,k,g,s,b,b
e,a,k,g,n,x,b
e,n,k,g,s,x,b
e,l,k,p,y,f,b
p,p,n,u,v,x,n
e,a,n,g,n,b,b
e,a,k,m,s,b,b
e,l,n,g,n,b,b
e,a,k,g,n,b,b
e,a,k,g,s,x,b
e,l,k,m,n,b,b
e,a,n,d,v,x,n
e,n,n,u,y,x,n
e,a,n,g,s,f,b
e,l,k,m,n,b,b
e,a,k,g,s,x,b
e,a,k,g,s,x,b
e,l,n,g,s,x,b
e,n,n,u,v,s,n
e,a,n,m,n,x,b
p,p,k,g,s,x,n
e,a,n,g,s,x,b
e,a,n,d,v,f,n
e,l,k,m,n,x,b
e,l,k,g,s,b,b
e,a,n,g,n,x,b
e,a,n,g,s,x,b
p,p,k,u,v,x,n
e,a,n,g,n,b,b
e,n,k,u,y,x,n
p,p,k,u,s,x,n
e,l,n,p,y,x,b
e,n,k,u,v,f,n
e,l,n,g,n,b,b
e,l,n,d,v,x,n
e,l,k,g,s,x,b
e,l,n,g,s,b,b
e,l,k,g,s,x,b
e,a,k,p,s,f,b
e,a,k,p,y,f,b
e,l,k,g,s,x,b
e,a,n,m,n,x,b
p,p,k,u,v,x,n
e,a,u,d,v,f,n
e,l,n,g,s,x,b
e,l,u,d,v,x,n
e,a,k,m,s,x,b
e,l,k,p,y,f,b
e,n,k,g,s,x,b
e,a,n,g,y,f,b
p,p,n,g,s,x,n
e,n,n,u,v,s,n
e,l,n,m,s,b,b
e,l,n,g,s,b,b
e,l,n,m,n,b,b
e,n,n,u,v,f,n
e,a,k,m,n,x,b
e,l,k,g,n,b,b
e,a,n,m,n,b,b
e,l,n,g,s,f,b
p,p,k,g,v,x,n
e,a,n,g,n,x,b
e,a,n,m,s,x,b
e,l,u,d,v,f,n
e,n,k,u,v,f,n
e,n,k,g,a,f,b
e,a,n,m,s,x,b
e,a,n,m,s,b,b
p,p,k,u,s,f,n
e,l,k,m,n,x,b
p,p,k,u,v,f,n
e,l,n,g,s,x,b
e,a,n,m,n,x,b
e,a,n,p,s,f,b
e,a,n,p,s,x,b
e,a,n,g,y,f,b
e,a,n,m,n,x,b
e,n,k,g,s,f,b
e,l,n,m,n,x,b
p,p,n,g,s,x,n
e,a,n,m,n,b,b
e,n,n,u,v,s,n
e,l,k,m,s,x,b
e,l,k,m,n,b,b
e,a,k,g,s,f,b
e,a,k,m,s,b,b
e,a,k,g,s,b,b
e,l,n,p,y,x,b
e,n,n,u,y,f,n
e,n,k,u,y,x,n
e,l,k,g,s,b,b
e,l,k,m,s,x,b
e,l,n,g,s,b,b
e,a,k,m,s,x,b
e,a,n,m,n,b,b
e,a,k,m,s,x,b
e,n,k,g,s,x,b
e,a,n,d,v,f,n
p,p,k,g,s,x,n
e,n,k,g,a,x,b
e,a,k,g,s,b,b
e,l,n,d,v,x,n
e,a,k,g,s,b,b
e,l,k,g,s,x,b
e,n,n,d,y,x,b
e,l,n,m,s,b,b
e,l,n,m,n,x,b
e,a,k,g,y,f,b
e,n,n,g,s,x,b
e,l,k,g,s,x,b
p,p,n,g,v,x,n
e,l,k,g,s,x,b
e,a,n,d,v,x,n
e,a,n,g,n,b,b
p,p,k,u,v,x,n
e,a,n,d,v,x,n
e,a,k,m,n,x,b
e,l,n,d,v,x,n
e,l,n,d,v,f,n
e,l,n,m,s,x,b
e,a,u,d,v,f,n
e,a,k,g,s,x,b
e,a,k,m,s,b,b
e,l,n,p,s,x,b
e,l,k,g,n,b,b
e,a,n,m,s,x,b
p,p,n,u,v,x,n
e,l,k,g,n,b,b
e,a,k,g,n,b,b
p,p,k,u,v,x,n
e,l,k,m,s,b,b
e,l,n,m,n,b,b
e,a,k,g,s,b,b
e,l,n,g,n,x,b
e,n,k,d,y,x,b
e,a,k,g,y,x,b
e,l,n,g,s,b,b
e,n,n,u,v,x,n
e,l,k,g,y,x,b
e,a,n,g,s,x,b
e,a,k,g,n,b,b
e,a,k,m,s,x,b
e,a,n,d,v,f,n
e,l,n,g,s,b,b
e,n,n,g,a,x,b
e,l,n,d,v,x,n
e,a,n,m,n,x,b
e,n,k,g,s,f,b
e,n,n,u,y,x,n
e,n,n,g,a,f,b
e,a,n,p,s,f,b
e,a,n,g,s,b,b
e,a,k,m,s,b,b
e,l,k,p,s,x,b
e,n,n,u,v,s,n
e,a,n,p,y,f,b
p,p,k,u,s,x,n
e,a,n,p,y,x,b
e,a,n,g,s,x,b
e,n,n,g,s,x,b
e,n,k,g,a,x,b
e,n,k,g,a,f,b
e,a,n,p,s,f,b
e,a,k,g,n,x,b
e,n,k,u,v,f,n
e,a,n,p,s,x,b
e,a,u,d,v,x,n
e,a,n,g,n,b,b
e,n,k,g,s,x,b
e,a,n,g,s,x,b
e,l,k,g,y,f,b
e,a,k,m,s,x,b
e,n,n,u,y,s,n
e,a,k,m,s,x,b
e,l,k,g,n,b,b
e,n,k,u,y,s,n
e,l,n,m,n,b,b
e,l,n,g,n,x,b
e,a,n,g,s,b,b
p,p,k,u,s,x,n
e,n,n,g,s,x,b
e,a,k,m,s,x,b
e,a,n,g,n,b,b
e,n,n,d,y,x,b
p,p,n,u,s,x,n
e,l,k,p,y,x,b
e,n,k,g,a,x,b
e,l,k,m,n,b,b
e,a,n,m,n,x,b
e,a,n,m,s,b,b
e,l,k,m,n,x,b
e,a,n,g,n,b,b
e,n,n,u,v,x,n
e,a,k,g,s,f,b
e,n,n,g,a,x,b
e,l,n,m,n,x,b
e,l,n,m,s,x,b
e,n,k,u,v,x,n
p,p,n,u,s,x,n
e,l,n,g,n,b,b
e,a,k,m,n,b,b
p,p,n,u,v,x,n
e,l,n,m,s,b,b
e,l,n,m,s,x,b
e,l,k,m,s,x,b
e,l,n,g,n,b,b
e,a,n,m,s,x,b
e,a,k,g,s,x,b
e,l,n,p,y,x,b
e,a,n,m,s,x,b
e,n,k,g,s,x,b
e,l,n,p,s,x,b
e,l,k,g,y,x,b
p,p,k,g,v,x,n
e,a,n,g,n,b,b
e,l,u,d,v,x,n
p,p,k,u,s,x,n
e,l,k,g,n,x,b
e,n,n,g,a,f,b
e,l,k,g,s,x,b
e,a,n,m,s,b,b
p,p,n,u,s,x,n
e,l,k,g,s,f,b
e,l,n,m,n,x,b
e,a,n,d,v,x,n
e,a,n,p,y,f,b
e,a,n,m,n,b,b
e,n,k,g,a,x,b
e,n,n,u,v,f,n
e,a,n,g,s,x,b
e,l,n,g,y,x,b
e,l,n,g,s,b,b
e,l,k,g,s,b,b
e,l,n,d,v,f,n
e,a,k,m,n,b,b
e,a,u,d,v,x,n
e,l,n,m,n,x,b
e,l,n,m,n,b,b
e,a,n,p,y,x,b
e,l,k,m,s,x,b
e,l,k,m,s,x,b
e,a,k,p,y,x,b
e,l,k,m,n,x,b
e,l,k,m,n,x,b
e,l,k,g,s,x,b
e,l,n,g,n,x,b
e,l,k,g,s,f,b
e,l,k,m,s,b,b
e,n,n,d,y,x,b
e,l,n,m,s,x,b
e,l,k,g,n,b,b
e,l,k,m,n,b,b
e,l,n,d,v,x,n
e,l,n,m,n,b,b
e,n,k,g,a,x,b
e,a,n,g,n,b,b
e,l,k,m,s,b,b
e,a,k,p,y,f,b
e,a,n,p,y,f,b
e,a,n,m,s,x,b
e,l,n,g,s,f,b
e,a,k,g,s,b,b
e,a,n,m,n,x,b
e,n,k,u,v,x,n
e,a,n,g,y,f,b
e,a,k,m,n,x,b
e,l,k,g,n,x,b
e,l,k,g,n,b,b
e,a,n,p,s,f,b
e,l,k,g,n,x,b
e,a,k,m,n,x,b
e,a,u,d,v,f,n
e,n,k,u,y,s,n
e,l,n,d,v,f,n
e,n,k,u,y,f,n
e,n,n,u,y,x,n
e,a,n,g,n,b,b
e,a,n,d,v,x,n
e,l,k,m,s,b,b
e,a,k,m,s,b,b
e,l,k,g,s,b,b
e,l,u,d,v,f,n
e,n,k,u,y,f,n
e,a,n,d,v,f,n
e,a,k,g,y,f,b
e,l,n,m,s,x,b
e,n,n,u,y,s,n
e,l,k,p,s,x,b
e,a,k,p,s,x,b
e,a,u,d,v,f,n
p,p,n,g,s,f,n
p,p,n,u,v,x,n
e,l,n,p,s,f,b
e,a,k,g,s,x,b
e,a,n,m,n,b,b
e,n,n,g,a,f,b
e,a,n,g,s,f,b
e,a,n,g,s,x,b
e,l,k,m,n,b,b
e,a,n,g,n,x,b
e,a,k,g,n,b,b
e,l,k,m,n,x,b
e,a,k,m,s,b,b
e,a,n,g,s,b,b
p,p,n,g,v,x,n
e,n,n,g,s,x,b
e,n,n,g,a,f,b
e,a,n,d,v,x,n
e,n,n,u,v,f,n
e,n,n,u,y,f,n
e,a,k,g,s,b,b
e,a,u,d,v,x,n
e,n,n,u,v,s,n
e,n,n,u,v,x,n
e,n,n,g,a,x,b
e,l,k,p,y,x,b
e,a,k,g,n,b,b
e,l,k,g,s,x,b
e,a,n,g,n,x,b
e,l,k,m,n,x,b
e,l,k,g,s,b,b
e,a,n,p,y,f,b
p,p,n,u,s,x,n
e,n,k,u,y,f,n
e,l,n,g,s,b,b
e,a,n,p,s,f,b
e,a,n,m,s,x,b
e,n,k,u,y,x,n
e,a,n,p,y,f,b
e,a,n,p,y,x,b
e,a,k,g,s,x,b
p,p,k,g,s,x,n
e,l,k,p,y,f,b
p,p,k,g,s,f,n
e,n,k,g,s,x,b
e,a,k,m,s,b,b
e,n,k,u,v,s,n
e,l,n,m,s,x,b
e,a,u,d,v,f,n
e,a,k,m,s,x,b
e,n,k,g,s,f,b
p,p,n,g,s,x,n
e,a,k,g,s,x,b
e,n,k,g,a,f,b
e,a,k,m,s,x,b
e,l,n,m,s,b,b
e,n,n,u,v,f,n
e,l,u,d,v,x,n
e,a,n,m,n,x,b
e,n,n,u,y,f,n
e,n,n,g,s,x,b
e,l,k,p,s,x,b
e,l,n,d,v,f,n
e,l,k,g,s,x,b
e,a,k,p,y,f,b
p,p,k,u,v,x,n
e,l,u,d,v,x,n
e,l,k,g,n,x,b
e,a,n,m,n,x,b
e,a,n,g,s,b,b
e,a,u,d,v,x,n
e,a,u,d,v,x,n
e,n,k,g,s,x,b
e,a,n,m,s,b,b
p,p,k,g,v,x,n
e,a,n,g,n,x,b
e,n,k,g,s,f,b
p,p,n,g,s,x,n
e,a,k,m,n,b,b
e,a,k,m,n,x,b
e,l,n,d,v,f,n
e,a,k,g,n,x,b
e,l,k,g,n,b,b
e,a,n,g,y,x,b
e,l,n,g,s,x,b
e,n,n,u,v,x,n
e,l,n,g,s,x,b
e,l,n,g,y,x,b
p,p,n,g,s,x,n
e,a,n,m,n,x,b
e,a,n,m,s,x,b
e,l,k,g,n,x,b
e,a,n,g,y,x,b
e,a,k,g,s,f,b
e,a,n,m,s,x,b
e,n,k,u,v,s,n
e,n,k,u,y,f,n
e,n,k,u,v,s,n
e,a,k,m,n,x,b
p,p,k,u,s,x,n
e,n,k,g,s,x,b
e,l,k,g,s,x,b
p,p,n,g,s,x,n
e,a,k,m,n,x,b
p,p,k,u,v,x,n
e,l,k,m,n,b,b
e,l,k,m,s,b,b
p,p,n,g,s,x,n
p,p,k,u,s,x,n
e,n,n,g,a,x,b
e,l,n,g,y,x,b
e,n,n,g,a,f,b
e,l,n,p,s,f,b
e,l,k,m,s,b,b
e,a,k,g,n,b,b
e,n,n,g,s,x,b
e,a,k,g,y,f,b
e,l,k,m,s,x,b
e,n,k,u,v,f,n
e,n,n,g,a,f,b
e,n,n,g,s,x,b
e,n,k,g,a,f,b
p,p,n,u,s,x,n
e,l,k,g,s,x,b
e,l,k,g,s,b,b
e,n,k,g,a,f,b
e,l,k,g,s,b,b
e,a,n,m,n,b,b
e,n,n,u,y,s,n
e,l,k,g,s,f,b
e,l,n,g,n,b,b
e,l,u,d,v,x,n
e,a,k,p,s,f,b
e,n,k,u,y,f,n
e,l,k,m,s,x,b
e,l,u,d,v,f,n
e,n,k,u,y,s,n
e,a,n,g,s,b,b
e,a,k,g,n,b,b
e,n,n,g,s,f,b
e,a,k,m,n,b,b
e,n,k,d,v,x,b
e,l,k,g,s,x,b
e,a,n,g,s,x,b
e,a,n,m,s,b,b
e,a,k,g,s,f,b
e,l,k,m,n,x,b
e,n,k,g,s,x,b
e,a,k,m,s,x,b
e,l,k,m,n,b,b
e,a,n,g,y,x,b
e,l,k,p,s,f,b
e,a,k,g,y,f,b
e,l,k,p,s,f,b
e,l,u,d,v,x,n
e,a,k,m,s,b,b
e,l,k,m,n,b,b
e,a,k,g,s,x,b
e,l,u,d,v,f,n
e,a,k,g,s,x,b
e,l,n,m,n,b,b
e,a,k,g,y,f,b
p,p,k,g,s,x,n
p,p,k,u,v,x,n
e,l,n,g,s,x,b
e,n,n,g,s,f,b
e,a,k,g,n,b,b
e,l,k,p,y,x,b
e,n,n,u,y,f,n
e,a,k,g,s,b,b
e,l,k,m,s,x,b
p,p,k,g,s,x,n
p,p,n,g,s,x,n
e,l,n,g,s,b,b
e,a,n,m,n,b,b
e,a,n,g,s,f,b
e,l,n,g,y,x,b
e,l,n,p,y,f,b
e,a,n,g,n,x,b
e,a,k,g,s,x,b
e,n,n,u,v,f,n
e,n,k,g,a,f,b
e,l,u,d,v,x,n
e,l,n,p,s,f,b
e,n,k,u,y,f,n
e,n,n,u,v,f,n
e,l,n,g,y,x,b
e,l,n,p,y,x,b
e,a,k,m,s,b,b
e,l,n,d,v,x,n
e,a,n,m,n,x,b
e,a,u,d,v,x,n
e,a,k,g,n,b,b
e,n,n,d,v,x,b
e,a,k,m,n,x,b
e,n,k,u,v,f,n
e,a,n,m,s,b,b
e,l,k,m,n,x,b
e,a,k,g,s,x,b
e,a,k,g,s,b,b
e,l,k,g,s,b,b
e,a,n,p,s,x,b
e,n,n,g,a,f,b
p,p,n,g,s,x,n
e,a,n,g,s,b,b
e,a,n,m,s,b,b
p,p,k,g,v,x,n
p,p,n,u,v,x,n
e,n,n,g,a,f,b
p,p,k,g,s,x,n
e,n,n,g,a,f,b
e,l,k,p,s,x,b
e,l,k,m,n,b,b
e,l,n,p,s,f,b
e,l,k,p,y,f,b
e,l,k,m,n,b,b
e,n,k,u,y,s,n
e,a,n,m,n,x,b
e,a,k,m,n,b,b
e,a,k,p,s,f,b
e,n,n,g,a,f,b
e,l,n,m,s,x,b
e,l,n,g,n,b,b
e,l,k,g,s,b,b
e,a,n,m,s,b,b
e,l,n,m,s,b,b
e,a,k,p,s,x,b
e,a,n,g,s,x,b
e,n,k,u,v,s,n
e,a,n,g,s,f,b
e,a,k,g,n,x,b
e,l,n,d,v,f,n
e,n,n,g,a,x,b
e,a,k,g,s,f,b
p,p,n,g,v,x,n
e,l,n,g,n,x,b
e,n,n,g,s,x,b
e,a,n,m,s,b,b
e,l,k,m,s,x,b
e,l,k,g,y,f,b
e,n,n,g,s,x,b
p,p,n,g,s,x,n
p,p,k,u,s,x,n
e,l,k,g,n,x,b
e,a,n,g,s,b,b
e,a,n,d,v,x,n
p,p,k,u,s,x,n
e,l,k,g,s,x,b
e,n,k,u,v,x,n
e,n,k,u,v,x,n
e,a,k,m,s,b,b
e,a,k,g,s,x,b
e,a,n,m,n,b,b
e,l,n,p,s,f,b
e,l,n,g,n,x,b
e,l,n,g,s,b,b
e,a,k,m,s,b,b
p,p,n,u,v,x,n
e,a,u,d,v,f,n
e,a,n,p,s,x,b
e,l,n,g,n,b,b
e,a,u,d,v,f,n
e,l,k,g,s,b,b
e,a,n,m,n,b,b
e,a,k,g,n,b,b
e,l,n,g,y,f,b
e,n,n,g,a,x,b
e,a,n,m,n,b,b
e,a,k,p,y,x,b
e,l,n,g,n,b,b
e,l,k,g,y,f,b
e,l,n,g,n,x,b
e,n,n,u,v,x,n
e,l,k,p,s,x,b
e,n,k,g,a,f,b
e,l,n,d,v,x,n
e,n,n,u,y,f,n
e,a,n,m,s,b,b
e,a,k,m,n,b,b
e,a,n,g,n,x,b
e,l,n,m,s,b,b
e,a,k,m,n,x,b
e,a,n,d,v,x,n
e,n,k,g,a,f,b
e,a,n,g,s,x,b
p,p,n,u,s,x,n
e,a,n,g,y,x,b
e,l,n,g,n,x,b
e,l,n,m,n,b,b
e,a,k,m,s,x,b
e,n,k,u,y,s,n
e,l,k,m,s,b,b
e,l,k,m,s,x,b
e,a,k,g,n,x,b
p,p,k,g,v,x,n
e,n,k,u,v,x,n
e,l,n,g,n,x,b
p,p,n,g,s,x,n
e,l,k,p,y,x,b
e,l,n,g,s,b,b
e,l,k,p,y,f,b
e,a,k,g,n,x,b
e,a,n,g,n,x,b
p,p,n,g,v,x,n
p,p,n,u,s,x,n
e,l,k,g,n,b,b
e,n,k,g,s,x,b
p,p,n,g,v,x,n
e,l,n,p,s,x,b
e,a,k,m,n,b,b
e,a,n,g,n,x,b
p,p,n,u,v,x,n
e,l,k,g,n,b,b
e,a,n,g,n,b,b
e,l,k,g,s,f,b
e,a,k,g,s,b,b
e,a,k,g,y,x,b
e,l,n,m,s,b,b
e,l,n,d,v,x,n
e,a,k,m,n,b,b
e,a,k,m,n,b,b
p,p,k,u,v,x,n
p,p,n,g,v,x,n
p,p,k,u,v,x,n
e,a,k,m,s,x,b
e,a,k,g,y,x,b
e,a,k,g,y,x,b
e,a,n,d,v,x,n
e,l,n,g,n,b,b
e,l,n,m,n,b,b
e,n,k,u,v,x,n
e,a,k,m,s,b,b
e,l,n,g,s,x,b
e,a,k,p,s,x,b
e,l,k,m,s,x,b
e,l,n,d,v,f,n
e,a,u,d,v,f,n
e,l,n,m,s,x,b
e,l,u,d,v,f,n
e,n,k,u,v,s,n
e,a,n,d,v,f,n
e,l,k,g,y,x,b
e,l,n,g,s,x,b
e,l,n,p,y,x,b
p,p,n,g,v,x,n
e,l,n,m,s,x,b
p,p,n,u,s,x,n
e,a,k,g,s,x,b
e,a,k,g,s,x,b
e,a,u,d,v,f,n
p,p,n,g,v,x,n
e,a,n,g,s,b,b
e,n,k,u,y,s,n
e,a,k,g,n,x,b
e,n,n,g,s,x,b
e,a,n,m,s,x,b
e,l,n,g,s,b,b
e,l,n,m,n,b,b
e,l,u,d,v,x,n
e,l,n,g,s,b,b
e,a,k,g,s,f,b
e,n,n,u,y,s,n
e,n,n,g,a,x,b
e,n,k,u,v,s,n
e,l,k,p,s,f,b
e,l,u,d,v,f,n
e,a,n,g,s,b,b
e,a,k,m,n,b,b
p,p,k,g,v,x,n
e,l,n,p,y,f,b
e,a,n,g,s,x,b
e,a,n,g,s,f,b
e,a,n,g,n,x,b
e,a,n,m,s,x,b
e,l,k,g,s,x,b
e,n,n,u,v,f,n
e,l,n,p,y,f,b
e,n,n,u,y,x,n
e,l,n,g,n,x,b
e,a,k,p,y,f,b
e,l,n,g,n,x,b
e,a,n,m,s,x,b
e,n,k,d,v,x,b
e,a,n,m,s,x,b
e,l,n,p,s,x,b
e,a,n,m,n,x,b
e,l,k,g,n,x,b
e,l,n,g,y,f,b
e,l,n,g,n,b,b
e,a,n,d,v,f,n
e,n,n,g,s,f,b
e,a,k,g,n,x,b
e,l,k,g,n,x,b
e,l,k,g,s,f,b
e,a,u,d,v,x,n
e,a,n,g,s,x,b
e,a,n,g,y,f,b
e,a,k,p,y,x,b
e,l,n,g,n,x,b
e,n,n,d,y,x,b
e,l,k,g,y,f,b
e,a,k,g,n,x,b
e,a,n,m,s,b,b
e,l,n,m,s,x,b
e,l,n,g,s,x,b
e,a,k,g,n,b,b
e,l,k,m,n,x,b
e,l,k,m,s,x,b
e,l,k,g,s,x,b
e,l,k,p,y,f,b
e,n,n,g,a,x,b
e,n,k,g,s,x,b
e,n,n,g,s,x,b
e,l,n,m,n,x,b
e,n,k,g,s,f,b
p,p,k,g,s,f,n
e,n,n,g,s,x,b
p,p,n,u,v,f,n
p,p,n,g,v,x,n
e,l,k,g,n,b,b
e,n,k,g,a,x,b
e,l,k,g,n,x,b
e,n,k,g,a,f,b
e,n,k,g,s,x,b
e,a,n,g,n,x,b
e,l,n,m,s,x,b
e,n,n,d,y,x,b
e,n,n,g,a,f,b
e,n,k,g,s,x,b
e,n,k,g,a,f,b
e,n,n,g,a,x,b
e,l,k,g,n,x,b
e,l,u,d,v,x,n
e,n,n,g,s,f,b
e,n,n,g,a,x,b
e,n,k,g,a,x,b
p,p,k,u,s,x,n
e,n,n,u,y,x,n
e,a,n,m,n,b,b
e,n,k,g,a,x,b
e,n,n,g,s,f,b
p,p,n,g,v,f,n
e,l,n,g,s,x,b
e,n,k,u,y,x,n
e,n,k,g,s,f,b
e,a,k,m,n,x,b
e,n,k,g,s,x,b
e,n,k,g,a,f,b
e,n,n,d,y,x,b
e,a,n,g,n,b,b
e,n,k,g,s,x,b
p,p,n,g,s,x,n
e,n,n,g,s,x,b
e,n,n,d,v,f,b
e,n,n,g,a,f,b
e,n,k,g,s,f,b
e,l,k,g,s,b,b
e,n,k,g,a,f,b
p,p,n,u,v,f,n
p,p,n,u,s,x,n
e,l,k,g,s,b,b
e,n,n,g,a,f,b
e,n,n,g,a,x,b
e,n,n,g,s,f,b
e,l,k,m,s,b,b
p,p,k,u,v,x,n
e,n,k,d,v,x,b
e,l,u,d,v,f,n
e,l,n,m,n,x,b
e,n,k,g,a,x,b
e,n,k,g,a,f,b
e,n,k,d,v,x,b
e,n,n,d,y,x,b
e,n,k,g,s,f,b
e,n,k,g,s,f,b
p,p,k,g,s,f,n
e,n,k,d,y,x,b
e,n,k,g,s,x,b
e,n,k,g,s,x,b
e,n,n,g,s,f,b
e,n,k,d,v,x,b
e,n,k,d,v,f,b
e,n,k,g,s,x,b
e,n,k,d,y,f,b
e,n,k,g,s,x,b
e,l,k,g,n,b,b
e,n,k,d,y,x,b
e,l,n,g,s,x,b
e,n,k,g,a,f,b
e,n,n,d,y,f,b
e,l,k,m,s,x,b
e,n,k,g,s,f,b
e,n,n,g,s,x,b
p,p,k,u,s,x,n
e,n,n,g,s,x,b
e,n,k,g,a,f,b
e,n,n,g,a,x,b
e,n,k,g,a,x,b
e,l,n,g,n,x,b
e,l,k,m,n,x,b
e,n,k,g,a,x,b
e,n,n,g,s,x,b
e,n,k,u,v,f,n
e,n,k,g,s,f,b
